   4 する	は を
   3 する	を に
   3 する	と を
   3 する	が
   2 与える	が に
   2 する	が は に と を で
   2 する	が は と を で
   2 する	が と は を
   2 する	は を に
   2 する	と を に
   2 する	が を に
   2 する	が を
   1 与える	は を に
   1 する	を通して を に
   1 する	が を通じて は も に として と を で から
   1 する	て により に と を で
   1 する	が から て に
   1 する	と まで を
   1 する	と さえ を
   1 する	が を について
   1 する	が は も において と を で
   1 する	が は も において に を
   1 する	て が に として を
   1 する	が は に として を
   1 する	て と し として
   1 する	が は も に によって と を
   1 する	が は に を につれて
   1 する	が て は も という に を で
   1 する	が は と を から
   1 する	て が は も に によって と など を について で
   1 する	が は も に を から
   1 する	が は に を で より
   1 する	て が は に と を を通して に対し
   1 する	は に と よ り を で
   1 する	は も と を で
   1 する	が は に と を
   1 する	が て に と を
   1 する	と は を に
   1 する	と で を に
   1 する	て は を に
   1 する	て で を に
   1 する	が よ り に
   1 する	が て を に
   1 する	と は を
   1 する	て も を
   1 する	て は を
   1 する	て と で
   1 する	が は に
   1 する	が と を
   1 する	が で に
   1 する	が て に
   1 見る	ら か
   1 見る	は も
   1 する	と は
   1 する	で を
   1 する	が は
   1 する	が と
   1 見る	が
   1 する	を
   1 する	も
